Tweet,Sentiment,Timestamp,Keyword,happy,sadness,surprise,anger
Rome was fun with my best friend hanz we managed to run out of money by the end and had mcDs for dinner at Florence,HAPPY,3/4/2018 0:06,word1,1,-0.25,-0.25,-0.25
And the funniest part the two statues said they were donated by New Zealand,HAPPY,3/4/2018 0:47,word1,2,-0.5,-0.5,-0.5
The performers were incredible and one of the generals was played by Geoffrey the butler from Fresh Prince of Bellaire,SURPRISE,3/4/2018 1:02,word1,1.75,-0.75,0.5,-0.75
The period ran smoothly under my direction most suprisingly to me I actually liked being thrown into the situation without having prior knowledge,SURPRISE,3/4/2018 1:27,word1,1.5,-1,1.5,-1
The plot was just full of loopholes there wasnt even any gratuitous boobage that you might otherwise associate with a Hollywood movie that stars an entire cast of nothing but athletic women,ANGER,3/4/2018 1:44,word1,1.25,-1.25,1.25,0
The reception was a friggen blast,HAPPY,3/4/2018 3:09,word1,2.25,-1.5,1,-0.25
The recruiter comes in the office with a look of sadness and disappointment,SADNESS,3/4/2018 3:15,word1,2,-0.5,0.75,-0.5
The second reason I was pissed was because not only was my friend is dying from this disease and has had it the entire time that we have been friends but to my knowledge has not taken the appropriate care of himself that a person with HIV should be taking,ANGER,3/4/2018 3:29,word1,1.75,-0.75,0.5,0.5
The selling of top secret documents to profit off of the killing of  people in a mosque,ANGER,3/4/2018 3:39,word1,1.5,-1,0.25,1.5
And the parents club decided to pay for our breakfasts so I got a free buffet,HAPPY,3/4/2018 4:46,word1,2.5,-1.25,0,1.25
The show is coming together awesome,HAPPY,3/4/2018 4:50,word1,3.5,-1.5,-0.25,1
The sky is so amazing in Greece it feels like you could really reach up and touch it its so close,SURPRISE,3/4/2018 5:11,word1,3.25,-1.75,0.75,0.75
The thread to this relationship is wearing thin its on its last strand and though he may think its cool to not do what he says hes going to its not cool to me,SADNESS,3/4/2018 5:41,word1,3,-0.75,0.5,0.5
The three of us find our way to the Spy Museum and Im surprised by the number of young couples who are there in addition to the usual elderly tourists and young families,SURPRISE,3/4/2018 5:56,word1,2.75,-1,1.5,0.25
the times I have felt most free most alive,HAPPY,3/4/2018 7:27,word1,3.75,-1.25,1.25,0
the times we have been at our best have shone brightest,HAPPY,3/4/2018 7:30,word1,4.75,-1.5,1,-0.25
the trip was fantastic plimoth was old and there were real live pilgrims everywhere salem was cute and adorable but very touristy ithaca was gorgeous and adorable and joel was there so the whole thing made me very happy and clearly that was the highlight of the trip niagara was fantastically beautiful but boring once youve seen the falls buffalo was sketchy but had great wings and now im home and i think its the most wonderful place ive ever been and i dont ever want to leave,HAPPY,3/4/2018 7:47,word1,5.75,-1.75,0.75,-0.5
The weirdest part is her roomate is someone who I went to school with since jr high,SURPRISE,3/4/2018 8:29,word1,5.5,-2,1.75,-0.75
The well integrated but edgy Muslim community is not so happy about this,ANGER,3/4/2018 8:38,word1,5.25,-2.25,1.5,0.25
The whole way there he was grabbing onto poles and screaming like a banshee and his friend Johnny who came along got a swift punch in the nuts from Phil,ANGER,3/4/2018 8:59,word1,5,-2.5,1.25,1.25
The words made me think Now I have thought and thought and you who know me best will not be surprised that I thought some more,SURPRISE,3/4/2018 10:36,word1,4.75,-2.75,2.25,1
The worst part is I love him,SADNESS,3/4/2018 11:39,word1,4.5,-1.75,2,0.75
then he calls again and knowing thats the international sign for pick up the frickin phone i picked it up thinkin there was something wrong with him,ANGER,3/4/2018 12:17,word1,4.25,-2,1.75,1.75
then Lyssamemattand Kayla couldnt find someplace good to eat that was open  in the morning so we all went in to giant eagle and bought junk food haha,HAPPY,3/4/2018 12:30,word1,5.25,-2.25,1.5,1.5
Then she comes up to me and starts yelling at me,ANGER,3/4/2018 14:54,word1,5,-2.5,1.25,2.5
Then she proceeded to call me Meghan and went through the required but hilariously inapplicable hazardous chemicalssafety concerns set of questions while the interns around me tried to stifle their laughter,HAPPY,3/4/2018 15:18,word1,6,-2.75,1,2.25
Then there were the Brazilians everywhere singingclappingdancingtaking pictures and of course the pale and pasty Brits with their cockeyed stares and drinking songs,HAPPY,3/4/2018 17:06,word1,7,-3,0.75,2
And the Walmartisation of the world changes markets for the worse for labour making people a mere slot in a computerised schedule with no regard for their free time,ANGER,3/4/2018 17:26,word1,6.75,-3.25,0.5,3
Then they throw a little hissy fit for  minutes as I repeat myself over and over,ANGER,3/4/2018 17:40,word1,6.5,-3.5,0.25,4
Then they were cutting this damn tree down and they made me go with then by dragging me over since I didnt want to go and when I tried to sneak away,ANGER,3/4/2018 18:34,word1,6.25,-3.75,0,5
Then things start to take a turn in an unexpected direction,SURPRISE,3/4/2018 18:49,word1,6,-4,1,4.75
Then another someone unexpected too,SURPRISE,3/4/2018 19:31,word1,5.75,-4.25,2,4.5
There was a fabulous sense of community there,HAPPY,3/4/2018 19:34,word1,6.75,-4.5,1.75,4.25
there was only a few of us single people there but it was cool,HAPPY,3/4/2018 20:28,word1,7.75,-4.75,1.5,4
And then I get an equally obnoxious call,ANGER,3/4/2018 20:55,word1,7.5,-5,1.25,5
These questions completely depress me,SADNESS,3/4/2018 20:58,word1,7.25,-4,1,4.75
These small indicators remind me that in the Silvia Plath sense of the concept Im dying,SADNESS,3/4/2018 20:59,word1,7,-3,0.75,4.5
They all complimented on it,HAPPY,3/4/2018 21:04,word1,8,-3.25,0.5,4.25
They are amazing,SURPRISE,3/4/2018 21:22,word1,7.75,-3.5,1.5,4
They are just so cute I cant resist them although I think I am under control now,HAPPY,3/4/2018 21:23,word1,8.75,-3.75,1.25,3.75
They both just lost their husbands and Vegas grandma has had more time were hoping she will help Canada grandma feel better,HAPPY,3/4/2018 21:48,word1,9.75,-4,1,3.5
THEY called me i just wanted to frickin sleep,ANGER,3/4/2018 22:10,word1,9.5,-4.25,0.75,4.5
They cause tears to run down my cheeks and make me want to fall to my knees,SADNESS,3/4/2018 22:24,word1,9.25,-3.25,0.5,4.25
They did everything they could to make us feel welcome everything from putting us up in a beautiful hotel refusing to let us pay for anything and making sure that our stay on their island was as enchanting as the stories always make it out to be,HAPPY,3/4/2018 23:47,word1,10.25,-3.5,0.25,4
And then one of them played a song that made me think of my mom and suddenly Im so depressed that all I want to do is go curl up in a ball and die,SADNESS,3/5/2018 0:14,word1,10,-2.5,0,3.75
They followed but Daniel took two minutes to look back at me I was angry,ANGER,3/5/2018 0:22,word1,9.75,-2.75,-0.25,4.75
they had to be stupid terrorists and think in their fundementalist clouded minds that theyd change the world,ANGER,3/5/2018 0:49,word1,9.5,-3,-0.5,5.75
They know how beautiful it is and they appreciate it,HAPPY,3/5/2018 1:33,word1,10.5,-3.25,-0.75,5.5
They still are not sure what is going on with the transplanted kidney as it appears to be peeling like an onion but his potassium and sugar and such are leveling out and he is feeling better,HAPPY,3/5/2018 3:08,word1,11.5,-3.5,-1,5.25
They still love me even though I woke them up at the buttcrack of dawn,HAPPY,3/5/2018 3:12,word1,12.5,-3.75,-1.25,5
They were on a special and heh,HAPPY,3/5/2018 5:28,word1,13.5,-4,-1.5,4.75
Theyre starting to put me in other parts of the store which is kind of nifty,HAPPY,3/5/2018 5:43,word1,14.5,-4.25,-1.75,4.5
Things I cannnot win,SADNESS,3/5/2018 5:45,word1,14.25,-3.25,-2,4.25
things make me laugh here esp my roommates,HAPPY,3/5/2018 5:47,word1,15.25,-3.5,-2.25,4
And then the dispatcher was all pissy with me over some redelivery shenanigans I was doing wrong,ANGER,3/5/2018 6:53,word1,15,-3.75,-2.5,5
Think constant arguinglies and deception money mismanagement and infidelity,ANGER,3/5/2018 7:51,word1,14.75,-4,-2.75,6
this amuses me so very much,HAPPY,3/5/2018 7:59,word1,15.75,-4.25,-3,5.75
This awesome program,HAPPY,3/5/2018 8:02,word1,16.75,-4.5,-3.25,5.5
This event was sooo fun,HAPPY,3/5/2018 8:08,word1,17.75,-4.75,-3.5,5.25
this fuckers dont go down too easy,ANGER,3/5/2018 8:08,word1,17.5,-5,-3.75,6.25
This goes to show you have a bigger heart than I Mango dearest,HAPPY,3/5/2018 8:38,word1,18.5,-5.25,-4,6
This is good for the odd hour shooter like me Also there is a  yd outdoor range which accepts a variety of loads shotgun magnum etc,HAPPY,3/5/2018 8:54,word1,19.5,-5.5,-4.25,5.75
This is my first year of loving myself,HAPPY,3/5/2018 9:15,word1,20.5,-5.75,-4.5,5.5
This is my year to be happy,HAPPY,3/5/2018 9:29,word1,21.5,-6,-4.75,5.25
And then we realized there was Mass going on,SURPRISE,3/5/2018 10:02,word1,21.25,-6.25,-3.75,5
This is my year to try new things and to succeed,HAPPY,3/5/2018 10:25,word1,22.25,-6.5,-4,4.75
This is not good,SADNESS,3/5/2018 10:30,word1,22,-5.5,-4.25,4.5
